,title,genre,synopsis,producer,studio,rating,scoredby,members,source,aired
671,Shihaisha no Tasogare,"Action, Supernatural, Demons, Drama, Horror, Sci-Fi, Shoujo","Since the beginning of time, monstrous Demons and noble Guardians have battled for Earth - the everlasting gift of the one great Mother, creator of all life. A deep hatred burns between Demon and Guardian; the Guardians prevented the Demons from destroying humanity and the world itself. 
 
Eons later, Neo-Shinjuku City: few Demons or Guardians remain to continue their epic war. Humans rule the Earth, with no real memory of either Demons or Guardians. Yet deep within the dark underworld of the city, one supreme Demon is alive and plotting to subjugate mankind. Only one Guardian is left to do battle, and the fate of the human race is at stake. 
 
Based on the Graphic Novel 
""Twilight of the Dark Master (Shihaisha no Tasogare)"" (Shinshokan) by Saki Okuse 
 
(Source: DVD Back Cover)",Toei Video,"Madhouse, Production Reed",5.98,2379,5396,Manga,"Jan 21, 1998"
672,Zone of the Enders 2167 Idolo,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi","Z.O.E. 2167 Idolo  takes place a few years prior to the events of the series  Z.O.E Dolores, i , and is centered on the ""Deimos Incident,"" an act of terrorism by the Mars revolutionaries. 
 
The BAHRAM army pilots Radium and Viola are the best in their class, and have such have been chosen to do spearhead testing on a new type of weapon; Mars hopes this weapon will liberate them from the UNSF's (United Nations Space Force) tyranny. This new technology called the ""Orbital Frame,"" is powered by an extremely rare and powerful source of energy known as the Metatron ore.",AT-X,Sunrise,6.98,3145,6399,Game,"Feb 21, 2001"
673,"Zone of the Enders Dolores, I","Action, Adventure, Space, Comedy, Mecha, Military, Sci-Fi","49-year-old James Lynx was an officer (LEV pilot) in the United Nations global army, one day he received notification that his wife—a Martian scientist—was killed during a lab experiment. 
 
Hateful and resentful for letting her go, his children blamed him and cast him aside, depressed and in despair, James quit the military and took up a job as a transporter between Earth and Mars, he had some slight hope of his wife still being alive and to find her he wanted to be out there. After a few years, he seemed to have given up all hope and turned to drinking, until one day he receives an orbital frame by the name of ""Dolores,"" sent by his dead wife. Once again, he dares to hope and sets off on a wild and wacky adventure to find the truth and to reunite his family. 
 
(Source: AniDB)","AT-X, TV Tokyo Music",Sunrise,7.03,2903,7944,Game,"Apr 7, 2001 to Sep 29, 2001"
674,Erementar Gerad,"Adventure, Comedy, Fantasy, Magic, Romance, Super Power","After a routine raid, the rookie sky pirate Coud finds a most unusual cargo in his mates' cargo hold: Ren, an ""Edel Reid"", a race prized by humans for granting special combat power to their partners through ""Reacting"". He quickly discovers, however, that Ren is even more prized than he expected. The pirate ship is visited by three members of the Edel Reid Complete Protection Agency ""Arc Aire"", who try to purchase her. When Coud refuses, the ship is suddenly attacked by a mysterious force, and Coud's captain charges him with Ren's protection. 
 
(Source: ANN)","TV Tokyo, Geneon Universal Entertainment, Sotsu, Victor Entertainment",Xebec,7.4,34563,72658,Manga,"Apr 5, 2005 to Sep 27, 2005"
675,Fushigi no Umi no Nadia,"Adventure, Comedy, Historical, Romance, Sci-Fi","In 1889, the world is on the pinnacle of great discoveries in technology. In mankind's grasp for the future, a sinister foe known only as Gargoyle, obsessed with restoring the former Atlantean empire to the glory it once held, begins his plans to take over the world. Nadia, with the help of a young inventor, Jean Roque Lartigue, and Captain Nemo of the submarine Nautilus, must fight to save the world from Gargoyle and Neo-Atlantis. Based on the Novel '20,000 Leagues Under the Sea' by Jules Verne. 
 
(Source: ANN) ","NHK, Sogo Vision",Gainax,7.62,10942,34015,Original,"Apr 13, 1990 to Apr 12, 1991"
676,Fushigi no Umi no Nadia Original Movie,"Action, Adventure, Drama, Historical, Mystery, Romance, Sci-Fi","Three years after the defeat of Gargoyle and Neo-Atlantis, a new threat has surfaced bent on bringing the world under his control. Geiger, using advanced robot technology, is attempting to begin a world war, and take control of the devistated world after the destruction has stopped. Once again, Nadia and Jean must fight to save the world, only this time from itself.  
 
(Source: ANN)","Group TAC, NHK",Gainax,5.48,1667,4508,Original,"Jun 29, 1991"
677,Macross II Lovers Again,"Adventure, Space, Mecha, Military, Sci-Fi, Shounen","A.D. 2089 - 80 years have passed since Space War I changed the lives of both human and Zentraedi races. Both races are at peace on Earth when a new alien race called the ""Marduk"" appear within the Solar System. While covering the first battle between the U.N. Spacy and the Marduk fleet, SNN rookie reporter Hibiki Kanzaki discovers Ishtar, an ""Emulator"" that enhances the Marduk's combat abilities through singing. Hibiki brings Ishtar to Earth to teach her the values of life and culture. Together with ace Valkyrie pilot Silvie Gena, Hibiki and Ishtar must find a way to save Earth from total destruction at the hands of the Marduk leader Ingues. 
 
(Source: ANN)","Bandai Visual, Mainichi Broadcasting System, Big West, Hero Communication, Shogakukan",AIC,6.44,4095,7924,Original,"May 21, 1992 to Nov 21, 1992"
678,Bio Hunter,"Action, Demons, Horror","Two scientists are attempting to distribute the cure for a demon virus that is affecting people all over Japan, however, things have become complicated. One of them has become infected. So begins his battle with himself, as he attempts to not only control his emerging demon side, but also to save the lives of others by wielding its great strength.  
",BMG Japan,Madhouse,6.05,3462,7236,Manga,"Dec 8, 1995"
679,Black Magic M-66,"Action, Mecha, Military, Sci-Fi","When two malfunctioning combat androids are accidentally unleashed on a ""Terminate at All Costs"" mission against the unsuspecting granddaughter of their creator, an entire city becomes the battleground and not even the military may be able to stop them! The girl's only hope: Sybil, a freelance journalist who's out to get the scoop of her life, if she can somehow keep both herself and her subject alive long enough to file a report. But first, she has to remember to put her clothes on! Co-directed by legendary manga master Masamune Shirow (GHOST IN THE SHELL, APPLESEED) and visionary director Hiroyuki Kitakubo (JO JO's BIZZARRE ADVENTURE, GOLDENBOY,), it's a tour de force of violence and mayhem on an epic scale as two damsels in distress and two deranged battle robots face off, girl vs. mecha style, in the all-time anime classic: BLACK MAGIC M-66! 
 
(Source: Maiden Japan) 
","Bandai Visual, Network","AIC, Animate Film",6.46,3757,7483,Manga,"Jun 28, 1987"
680,Kyoukasho ni Nai!,"Comedy, Romance, Ecchi, School","Oraku is a lucky man. He has a comfortable job teaching at a local High School. He has Satsuki, a fellow teacher whom he hopes to marry someday. He has Aya, a beautiful student who has fallen in love with him. He has Aya's father, a wealthy man who wants so much for his little girl to be happy that he has sent her to live with Oraku. Oraku is a very lucky man. 
 
Of course Aya loves nothing more than to come on to Oraku by lounging around his apartment half naked. Unfortunately for Oraku, Aya's father happens to be wealthy because he is a major crime boss, and he will have Oraku slowly murdered if Aya doesn't remain absolutely pure. 
 
Now Oraku must not only restrain himself, but also protect Aya from the hordes of men and woman at school who'd love to get their hands on her body. And of course, if Satsuki or any of the other teachers find out that Oraku is living with one of his students, he will be permanently dismissed from the teaching profession! Oh yes Oraku is lucky... 
 
(Source: AniDB)",Toei Video,AIC,5.76,1254,2804,Manga,"Apr 21, 1998 to May 21, 1998"
681,Ys,"Adventure, Demons, Drama, Fantasy, Magic","Mythical beasts lay siege on the people of Esteria, who have raised an army to fight back. The beasts are relentless and seemingly have no end to their numbers, while the population of defenders dwindle in every skirmish. Even in the town of Minea, where the people are safely nestled behind castle walls, the constant attacks have left them hopeless. It is then that a prophecy is made, proclaiming the arrival of a brave young soul that could be the one who will bring their salvation. 
 
 Ys  follows Adol Christin, an adventurer driven by wanderlust towards the island of Esteria, who washes up on shore after a shipwreck. Following the guidance of the fortuneteller Sarah Tovah, he and his allies will travel the island in search of the legendary tomes known as the Books of Ys. It will be a long and perilous journey, but if fate is truly at work then Adol will certainly be the hero who returns peace to Esteria.","Starchild Records, Nihon Falcom",Tokyo Kids,6.57,1795,5196,Game,"Nov 21, 1989 to Sep 5, 1991"
682,Taiyou no Ko Esteban,"Adventure, Historical, Sci-Fi","1532. Esteban, age 12 is a foundling from Barcelona, with a mysterious power of ordering the Sun to appear, for which he is called ""Child of the Sun."" Upon the death of his adoptive father, Esteban learns he was rescued as a baby from a sinking ship in the ocean. The mysterious medallion that Esteban wears since ever has a trace somewhere in the New World, probably coming from the Mysterious Cities of Gold. Esteban leaves Spain to find his parents and find out who he is. On the way he meets Zia, an Inca girl who was kidnapped from her people years back and has exactly the same medallion as him. Later on, they are joined by Tao, a young Galapagos robinson, the last descendant of the Empire of Heva, an Empire said to have built the Cities of Gold. Following Coyolite, the shining star represented on their medallions, the three children travel through the unexplored New World, searching for the Cities of Gold, believing that this way is leading them to their lost parents. 
 
(Source: ANN)",DiC Entertainment,Studio Pierrot,7.71,3072,6877,Novel,"Jun 29, 1982 to Jun 7, 1983"
683,Soukihei MD Geist,"Mecha, Military, Sci-Fi","In the distant future, mankind has colonized other planets in the universe. While many planets lived in peace, the planet Jerra has been ravaged by decades of war. Geist is an M.D.S. (Most Dangerous Soldier), an enhanced human with unsurpassed combat capabilities and an insatiable lust for battle. Because of his uncontrollable nature, Geist is cryogenically frozen and locked in a satellite. Several years later, the satellite crashes and Geist wakes up from his sleep to engage in another war. This time, to help the army stop the planet's central computer from activating a doomsday device that will lead to total annihilation of all life on Jerra.  
 
(Source: ANN)",Nippon Columbia,Zero-G Room,5.4,4926,9615,Unknown,"May 21, 1986"
684,MD Geist II Death Force,"Mecha, Military, Sci-Fi","After unleashing the Death Force machines all over the planet Jerra, Geist has kept himself busy by dismantling them one by one. But now he faces a formidable opponent in the form of Krauser, another M.D.S. (Most Dangerous Soldier) who has aligned himself as the only savior of mankind. 
 
(Source: ANN)",Nippon Columbia,Zero-G Room,5.13,3109,5158,Unknown,"Mar 1, 1996"
685,Kidou Keisatsu Patlabor,"Sci-Fi, Comedy, Police, Mecha","As the human race evolves, so does its technology. Engineers have successfully created robots dubbed ""Labors"" for mass distribution, utilized by society for a number of everyday tasks. However, there are criminals who manage to get their hands on these Labors, using them for their own nefarious means. 
 
To combat this new form of delinquency, police around the world begin using ""Patrol Labors"" or ""Patlabors"" to put a stop to Labor-related crimes. Rookie police officer Noa Izumi is drafted into a special Patlabor unit, getting her own mechanical suit to fight crime. Naming this machine Alphonse, Izumi works tirelessly alongside her peers to keep civilization safe from those who would use this advanced technology to harm others. 
 
As Izumi becomes further ingrained within her unit, she must also learn how to navigate both her social and professional spheres with grace and wit. She befriends the aloof Asuma Shinohara, fellow pilot Isao Oota, and the other members of her brigade as she helps them to combat conspiratorial plots, workplace revolts, and supernatural beings. 
 
[Written by MAL Rewrite]",Tohokushinsha Film Corporation,Studio Deen,7.44,5218,13501,Original,"Apr 25, 1988 to Jun 25, 1989"
686,Kidou Keisatsu Patlabor New OVA,"Sci-Fi, Comedy, Police, Mecha","Special Vehicles Division 2 is back on duty, along with their Ingram Patrol Labor (Patlabor) robots. Using their courage as well as the Ingrams, Captain Goto's motley crew of officers battle crime in Tokyo city. They also deal with their personal lives, as well as the supernatural.  
 
(Source: ANN)",Tohokushinsha Film Corporation,Sunrise,7.55,1844,5010,Original,"Nov 22, 1990 to Apr 23, 1992"
687,WXIII Kidou Keisatsu Patlabor,"Sci-Fi, Police, Mecha","When the level of Labor accidents begin to escalate around Tokyo Bay, police detectives Kusumi and Hata are assigned to investigate. What they discover leads to a series of government cover-ups, conspiracy concerning a new biological weapon entitled WXIII-Wasted Thirteen and a tragic, personal connection to Hata. The only hope to stop this threat is to cooperate with the military and lead WXIII into a showdown with the Labors of Special Vehicle Division 2.  
 
(Source: ANN)","Bandai Visual, Shochiku, Tohokushinsha Film Corporation",Madhouse,6.86,3235,6667,Original,"Mar 30, 2002"
688,Afro Samurai,"Action, Adventure, Samurai","When he was a young boy, Afro witnessed his father be cut down in a duel at the hands of a man known only as Justice. After taking the life of Afro's father, Justice cast aside his Number Two headband and took the Number One to claim its godly powers as his own. 
 
Years later, having obtained the Number Two headband which grants him the right to challenge the Number One, Afro moves forward in his hunt for revenge on the man who murdered his father. There is just one thing that stands in his way—everyone else in the world! Though the Number One can only be challenged by the Number Two, the Number Two can be challenged by anyone. As his enemies gather to try and take the title of Number Two, Afro must fight through a myriad of foes and obstacles if he hopes to reach the Number One and claim vengeance once and for all. 
 
[Written by MAL Rewrite]","Dentsu, Victor Entertainment, Pony Canyon, Fuji TV",Gonzo,7.41,104398,176702,Original,"May 3, 2007 to May 4, 2007"
689,Urusei Yatsura,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance","Not much is notable about the lecherous Ataru Moroboshi, but his extraordinary bad luck sticks out like the horns in an alien's head. When Earth is threatened by a fleet of alien invaders known as the Oni, Ataru is selected to represent humanity in a duel against one of them. It's a stroke of rare luck for Ataru that the duel is in fact a game of tag, and that his opponent is Lum, daughter of the Oni's leader, who places her personal dignity above victory—as Ataru finds out by seizing Lum's bikini top and with it, victory. 
 
However, misfortune kicks in again when Lum mistakes Ataru's promise to marry his girlfriend, Shinobu Miyake, as the desire to wed Lum herself, and decides she rather likes the idea. Wielding her influence as an alien princess, she moves in with him. Forced to deal with the consequences of his womanizing ways, Ataru must balance his crumbling relationship with Shinobu while keeping Lum happy, all the while flirting with every woman he meets. 
 
[Written by MAL Rewrite]","Kitty Films, Fuji TV","Studio Pierrot, Studio Deen",7.75,5589,34291,Manga,"Oct 14, 1981 to Mar 19, 1986"
690,Project A-Ko 2 Daitokuji Zaibatsu no Inbou,"Action, Comedy, Mecha, Sci-Fi, Super Power","Three weeks after the incident that left Captain Napolipolita's ship balancing on top of Graviton City, A-Ko and the gang go on summer vacation. While A-Ko ponders losing some weight and B-Ko devises another plan to defeat her redheaded rival to win C-Ko, Napolipolita and Spy-D experience severe homesickness - begging for a way to return to their home planet. Meanwhile, Hikari Daitokuji - B-Ko's father and the CEO of the Daitokuji Financial Group - arms the local military with new mecha to attack Napolipolita's ship and obtain its advanced technology.  
 
(Source: ANN)",Pony Canyon,APPP,6.67,1865,3512,Original,"May 21, 1987"
691,Project A-Ko 3 Cinderella Rhapsody,"Action, Comedy, Mecha, Sci-Fi, Super Power","In the middle of another break from school, A-Ko dreams of finding the perfect boyfriend. Because of this, she and C-Ko get into an argument that leads to C-Ko running away and nearly getting hit by a motorcyclist named Kei. While working part-time at a fast-food restaurant to raise money for a party dress, A-Ko meets Kei and immediately falls in love with him. B-Ko happens to like him as well; however, both A-Ko and B-Ko are unaware that C-Ko is the apple of Kei's eyes.  
 
(Source: ANN)",Pony Canyon,Studio Fantasia,6.58,1632,3148,Original,"Jun 20, 1988"
692,Project A-Ko 4 Final,"Action, Comedy, Mecha, Sci-Fi, Super Power","In Iraq, a group of archaeologists discover ancient relics that prophecize the coming of a superior race and the end of all civilization. Meanwhile, back in Graviton City, as A-Ko and B-Ko's rivalry over Kei intensifies, Mr. Daitokuji sets up an arranged marriage between Miss Ayumi and Kei. Furious over the engagement, both A-Ko and B-Ko do whatever it takes to prevent the wedding from going through. Little do they know that another alien fleet is on its way towards Earth.  
 
(Source: ANN)",Pony Canyon,Studio Fantasia,6.61,1485,2988,Original,"Oct 7, 1989"
693,Flag,"Mecha, Military","In 20xx, a civil war broke out in a small country in Asia in spite of the dispatch of UN forces. But a picture taken by accident in the battlefield accelerates the peace process: a photograph of a flag, which became the symbol of peace. However, just before the peace agreement is finalized, the flag is stolen by an armed extremist group in order to obstruct the truce. To rescue the flag, the UN sends the Special Development Command (SDC, which is armed with the High Agility Versatile Weapon Carrier (HAVWC)), along with an embedded photojournalist to record their activities. That photojournalist is Saeko Shirasu—the young camerawoman who took the picture of the flag. 
 
 (Source: ANN)",Aniplex,The Answer Studio,7.28,2850,12754,Original,"Jun 16, 2006 to Mar 2, 2007"
694,Chikyuu Bouei Kigyou Dai-Guard,"Adventure, Comedy, Mecha, Military, Sci-Fi","Thirteen years after their sudden disappearance, an alien race known as the Heterodyne resurface without warning. To combat the Heterodyne, three office workers from the 21st Century Security Corporation operate Dai-Guard - a giant robot no longer regarded as an oversized paperweight. Unfortunately, Dai-Guard is somewhat obsolete and in disrepair. It's a tough job, but salarymen can also save the world.  
 
(Source: ANN)","Sotsu, TV Tokyo Music",Xebec,7.21,1949,5774,Original,"Oct 5, 1999 to Mar 28, 2000"
695,Digimon Adventure 02,"Action, Adventure, Comedy, Drama, Fantasy, Kids","A few years after the adventures of the Chosen Children in the Digital World, a new batch of Chosen Children are summoned to save the Digital World. An evil ruler known as the Digimon Kaiser, or Digimon Emperor, is forcing the Digital World's Digimon into enslavement. The new group of Chosen Children, with the help of their Digimon, then begin a journey to stop the evil Digimon Emperor. 
","Yomiko Advertising, Fuji TV",Toei Animation,7.35,95490,146442,Original,"Apr 2, 2000 to Mar 25, 2001"
696,Idaten Jump,"Game, School, Sports","Sho liked MTB very much and he always practiced at the practice field, “X-Zone”, with his friends, Takumi and Makoto. Takumi was a good mechanic and Makoto was a competitive girl rider.  
 
One day, he was challenged by a MTB team, “Shark Tooth”, of Samejima brothers’ betting the X-Zone. For Sho, X-Zone was a memorable place where he had spent days with his dead father, and he couldn’t lose the game.  
 
The day came, and during the race with the leader of Shark Tooth, black smoke suddenly covered around, and they were sent to another world. When he came to, he found Kakeru, Makoto, and his MTB, “Flame Caesar”, were also there.  
 
While they were wondering what had happened, MTB riders came.  
They challenged Sho to a MTB bout. They said Sho had to collect 10 pieces of emblems by winning MTB bout, “Idaten Battle”.  
 
This is how Sho came down to compete in Idaten Battle at various courses, such as, volcanos, ruins, deserts, snowy montains, and grave yards.  
Whether will show win the race to come back to his world?  
","Aniplex, Trans Arts, MediaNet",Production I.G,6.88,2056,4040,Manga,"Oct 1, 2005 to Sep 30, 2006"
697,Eyeshield 21 Maboroshi no Golden Bowl,"Sports, Shounen","The Uraharajuku Boarders may have been knocked out of the Kantou Tournament, but a mysterious proposition from a mysterious man may influence the Governor, a graduate of Uraharajuku High School, to allow Uraharajuku to play Sena Kobayakawa and the Deimon Devilbats in the equally mysterious Golden Bowl, whose winner will seemingly receive a place in the Kantou Tournament. However, when Sena and company arrive at the field, they find the Golden Bowl may be something they didn't bargain for against opponents they may not be able to beat.  
 
(Source: ANN)",Bandai Visual,Production I.G,6.75,2671,6360,Manga,"Aug 6, 2004"
698,Earthian,"Drama, Shoujo, Shounen Ai","Angels from the planet Eden have been watching Earthians, the inhabitants of Earth, for 5 billion years. Chihaya, an angel with unlucky black hair and wings, is a plus checker who travels to Earth with Kagetsuya, a minus checker. Each team of plus and minus checkers keep track of Earth events and, if the score ever reaches minus 10,000, the Earth will be destroyed. The story follows Chihaya and Kagetsuya and the different people and events they observe on Earth. 
 
(Source: ANN)",Youmex,"J.C.Staff, Production Reed",6.23,2773,6648,Manga,"Jul 26, 1989 to Dec 21, 1996"
699,Koukaku Kidoutai Stand Alone Complex - Tachikoma na Hibi,"Comedy, Mecha, Sci-Fi",Tachikomatic Days is a series of comedic shorts attached to the end of every episode of Ghost in the Shell: Stand Alone Complex. The shorts feature the antics of the Tachikoma think tanks of Section 9 and usually involve plot points. The average short time is a little over a minute.,Animax,Production I.G,7.26,9976,20554,Unknown,"Oct 1, 2002 to Mar 25, 2003"
700,Shin Megami Tensei Tokyo Mokushiroku,"Action, Sci-Fi, Horror, Demons, Supernatural","Handsome and effeminate, quiet but proud, the sinister Akito Kobayashi has a passion for the occult and has developed a computer program to summon demons and the living dead. But little does he know that fellow high school students Kojirou Souma and Saki Yagami are reincarnations of powerful and benevolent spirits. When the pair's friends have become targeted by demons trying to harvest their life energies, they must harness their dark metaphysical powers to destroy Kobayashi's threatening program, or risk losing their loved ones forever. 
 
[Written by MAL Rewrite]","Sony Music Entertainment, Sanctuary",J.C.Staff,5.6,1552,3778,Manga,"Apr 21, 1995 to Jun 21, 1995"
701,AD Police,"Sci-Fi, Adventure, Mystery, Dementia, Police, Psychological, Thriller, Mecha","The year is 2027 in MegaTokyo, six years before the Knight Sabers will make their debut. Boomers (artificial humans) are still a relatively new advancement, and the implementation and integration of boomers into society is still a bit buggy -- sometimes fatally so. Whenever a boomer incident occurs, though, there is the Advanced Police, a special force trained to deal with boomer crimes. 
 
Leon McNichol is a rookie in the AD Police, and is just starting to become exposed to the horrors and tragedies one finds every day in MegaTokyo. He and his veteran partner, Gina Marceau, slowly learn about the ever-fading line that separates man from machine. ","Bandai Visual, Youmex","AIC, Artmic",6.4,3364,8314,Original,"May 25, 1990 to Nov 22, 1990"
702,Bubblegum Crisis,"Sci-Fi, Adventure, Mecha, Shounen","In the near future, Tokyo was left flattened as a result from a great earthquake. A new city, MegaTokyo, was then recreated due in no small part from the aid of a multi-million dollar company, Genom Corp. Genom created and mass-produced biomechanical creatures called Boomers to aid in the restoration of MegaTokyo. When the Boomers began to run out of control, the ADPolice at first tried to stop them, but they proved to be far more difficult to deal with than was first imagined. Under the ever looming Boomer threat, a group of four girls from varying degrees of society banded together. Calling themselves The Knight Sabers, they were the only ones with enough firepower and resourcefulness to defend the fledgling MegaTokyo from Genom and its berserk Boomers.  
 
(Source: ANN)",Youmex,"AIC, Artmic, Darts",7.33,8033,22733,Original,"Feb 25, 1987 to Jan 30, 1991"
703,Bubblegum Crash,"Action, Adventure, Mecha, Sci-Fi, Shounen","The saga of the Knight Sabers continues as the group tries to find out who or what is behind the recent string of robberies, murders, and Boomer malfunctions which are somehow related to the creation of an advanced artificial intelligence. Furthermore, it seems that the Knight Sabers may be breaking up.  
 
(Source: ANN) 
","Artmic, AnimEigo",Darts,6.64,2722,5976,Original,"May 25, 1991 to Dec 21, 1991"
704,Parasite Dolls,"Action, Sci-Fi, Police, Mecha","A secret unit of the AD Police, known as Branch, specializes in crimes involving humanoid robots called 'Boomers'. Branch officer Buzz must cope with having a Boomer for a partner, while officer Michaelson finds the line between human and robot to be a thin one. Together they serve to protect a world that is slowly deconstructing around them. Set in the Bubblegum Crisis universe.  
 
(Source: ANN)",Imagica,AIC,6.64,3035,8032,Original,"May 22, 2003 to Jul 24, 2003"
705,Angel Cop,"Action, Sci-Fi, Police","Sometime in the future, terrorism in Japan has become commonplace, and the police have become almost as brutal as criminals. A member of the Special Security Force known as Angel, is the best of the best, stopping at nothing in her fight for justice. 
 
Things get interesting for Angel and her partner, Raiden, when they begin investigating a series of murders in which the victims were known criminals, killed in very unpleasant ways. This trio of killers known as Hunters, is a group of psychics that have banded together to hunt down the lowest scum in the city and bring them to justice. 
 
After a couple of encounters between the cops and the psychics, two of the psychics begin to think that maybe they're not the good guys after all; but the third prefers killing to morality. Augmented by cybernetics from a mysterious source, this third hunter heads out on a killing spree, with the Special Security Force as the first target.  
 
Even with help from the other two psychics and her newly cyborged partner (after an unfortunate accident), Angel is going to have her work cut out trying to find the rogue psychic and the organization behind the Hunters. ","Geneon Universal Entertainment, SOEISHINSHA",D.A.S.T.,5.99,2880,7533,Original,"Sep 1, 1989 to May 20, 1994"
706,Cyber City Oedo 808,"Action, Adventure, Police, Sci-Fi","It is the year 2808. Three convicts are recruited as members of the Cyber Police to keep major criminal activity in Oedo (formerly Tokyo) in check. In return, their life sentences will be reduced by a few years for every mission accomplished. However, to ensure that these convicts are doing their job, the police have secured special collars around their necks. If they attempt to remove their collars or fail to meet the time limit of their mission, the collars will self-destruct.  
 
(Source: ANN)",Japan Home Video,Madhouse,7.24,5509,12341,Original,"Jun 21, 1990 to Oct 4, 1991"
707,Shin Hokuto no Ken,"Action, Martial Arts, Sci-Fi, Shounen","In a post-apocalyptic Earth, the water has become entirely toxic, except for some kept safe in a reservoir. A fortified zone has been created by a man named Sanga, he calls it The Lastland. A group of villagers have discovered safe water, and Sanga wants it. He and his band of killers go to kill everyone and steal it. As they do a mysterious man appears out of nowhere, instantly killing some of Sanga's men. His name is Kenshiro, and he can beat any man with his martial art, Hokuto Shin Ken. Sanga will do anything for the water, and Kenshiro will do anything to try and stop him. 
 
(Source: ANN)","OB Planning, Kitty Films, Sega",A.C.G.T.,7.04,3802,8371,Unknown,"Jul 24, 2003 to May 28, 2004"
708,Final Fantasy The Spirits Within,Sci-Fi,"The year is 2065, and the planet of Earth is far removed from the place that it was in the past. Deadly alien creatures known as Phantoms have appeared all over the planet, and mere contact with these entities is lethal, whether it be an instant death or a prolonged decline. In order to try and salvage what little of the human race is left, large force-field barriers have been constructed around certain cities to repel the Phantoms. 
 
Seeking a more permanent solution to this invasion are scientists Aki Ross and her mentor, Dr. Sid, whose investigations have revealed that there exists a form of spiritual, Gaia energy that can eradicate the Phantom's presence from this world. Aki and Sid aren't alone in their quest through  Final Fantasy: The Spirits Within ; the human council and the military squad ""Deep Eyes"" are ready to help. Not everyone is convinced of this plan though. 
 
Aki, Sid, Grey, and their allies have to band together against forces both alien and human if they are to have any chance at restoring peace to Earth. An enemy whose mere touch is fatal, the Phantoms appear the more dangerous enemy, but as they will come to find out, their human nemeses are also not to be trifled with.",Sony Music Entertainment,Square Enix,6.45,41717,58905,Game,"Jul 2, 2001"
709,Detective Conan Movie 04 Captured in Her Eyes,"Adventure, Mystery, Comedy, Police, Shounen","On a rainy afternoon, the Detective Boys witness a murder across the street. Barred by traffic, the culprit slips away and Conan Edogawa is left a single clue by a dying detective. Days later, another detective is found murdered in a parking lot, leaving the police rattled. Suspicious that the culprit is one of their own, everyone in the police department without an alibi is suspect. But despite being on high alert, they are outmaneuvered and suffer yet another attack—this time with Ran Mouri finding herself in the crossfire. 
 
Traumatized, Ran wakes in the hospital with retrograde amnesia, remembering nothing about her life. Soon released, she struggles to remember her past and grows fearful of not regaining her memories before being targeted by the killer for what she witnessed. As she is guarded by friends and family, it is up to Conan to piece together the clues and find who the murderer is before they strike again. 
 
[Written by MAL Rewrite]",Polygram Japan,TMS Entertainment,8.15,20274,33024,Manga,"Apr 22, 2000"
710,Atama Yama,"Comedy, Dementia, Psychological, Fantasy","After a stingy man eats some cherry seeds, a cherry tree grows on his head and he gets into a lot of trouble.  
","Yamamura Animation, Inc.",Studio Deen,6.57,3134,5326,Other,"Jan 1, 2002"
711,Hi no Tori,"Adventure, Drama, Historical, Sci-Fi, Supernatural","Hi no Tori is a collection of stories that all have something in common. The Phoenix, whose blood is believed to give an eternal life to one who drinks it. Therefore many seek to kill it, but as the Phoenix of the tale, it's reborn from the ashes. Stories take place in future and the past, where humans fight with each other as always, and everyone is afraid to die. But still, every story teaches a lesson: Life is beginning of an eternity, an never-ending cycle.  
 
(Source: ANN)","NHK, Tohokushinsha Film Corporation",Tezuka Productions,7.24,1440,5236,Manga,"Mar 21, 2004 to Jun 27, 2004"
712,Taiho Shichau zo TV,"Action, Comedy, Police, Seinen","Tokyo Highway Patrolwomen Natsumi and Miyuki get off to a bad start when Miyuki busts Natsumi for reckless moped driving on her way to work. Things get worse when they find out they're going to be partners! 
 
A continuation of the OVA series, the adventures of Tokyo policewomen Natsumi and Miyuki continue in the You're Under Arrest TV series. It's back to Bokuto Precinct, where demented felons and bashful (but hunky) policemen abound, and where the cutest girl in the office... isn't a girl. 
 
(Source: Rightstuf)","Bandai Visual, TBS, Kodansha, Nichion",Studio Deen,7.57,5347,15187,Manga,"Oct 5, 1996 to Sep 27, 1997"
713,Seikai no Monshou Special,"Action, Military, Romance, Sci-Fi, Space",A compilation of the Seikai no Monshou series with additional footage.,"Bandai Visual, WOWOW, BeSTACK",Sunrise,7.35,1048,2747,Light novel,"Apr 7, 2000"
714,Kyuuketsuhime Miyu,"Action, Horror, Demons, Drama, Vampire, Shoujo","A quiet gothic horror story about a vampire girl, Miyu, whose destiny it is to hunt down murderous demons known as Shinma and return them to their land of origin, the Dark. Miyu is pursued by the Spiritualist Himiko, determined to find out who Miyu is and to stop her from sucking the life blood from helpless humans. Each of the four episodes chronicle one of Miyu's encounters with a Shinma and the humans that it is affecting, from the perspective of Himiko's pursuit of Miyu.  
 
(Source: AniDB) ",SOEISHINSHA,AIC,7.09,5557,13059,Manga,"Jul 21, 1988 to Apr 21, 1989"
